Date,Time,Name,Score
2022/03/22, 14:54:24,,3400
2022/03/22, 14:54:00,,2675
2022/03/22, 14:59:27,None,2350
2022/03/22, 14:47:59,None,2150
2022/03/22, 14:58:48,None,1650
2022/03/23, 11:24:23,lucia,1450
2022/03/22, 15:02:21,None,1275
2022/03/22, 12:34:20,None,975
2022/03/22, 11:31:46,summit,875
2022/03/22, 10:57:00,None,800
2022/03/22, 12:28:27,None,800
2022/03/22, 11:34:03,summitt,775
21/03/2022, 20:30:44,None,650
21/03/2022,20:25:10,miro,650
2022/03/22, 14:45:37,sad,550
21/03/2022, 20:41:46,rickrolled,525
21/03/2022, 20:30:48,None,475
2022/03/23, 11:29:06,None,425
2022/03/22, 14:57:43,None,400
2022/03/22, 14:47:23,None,350
2022/03/23, 10:59:08,None,350
2022/03/22, 14:38:02,None,325
2022/03/23, 11:21:47,None,325
21/03/2022, 20:30:55,None,225
21/03/2022, 20:31:01,None,200
21/03/2022, 20:32:14,None,150
21/03/2022, 20:32:45,None,125
21/03/2022, 20:33:13,None,125
21/03/2022, 20:35:26,sadsada,100
21/03/2022, 20:36:07,today is the day,50
21/03/2022, 21:06:40,None,50
21/03/2022, 20:35:47,None,50
21/03/2022, 20:39:40,rer,0
21/03/2022, 21:58:13,None,0
2022/03/23, 11:26:47,None,0
2022/03/23, 11:29:28,None,0
2022/03/23, 11:29:49,None,0
2022/03/23, 12:51:41,None,0
2022/03/23, 12:53:04,None,0
