Date,Time,Name,Score
2022/03/22, 11:31:46,summit,875
2022/03/22, 10:57:00,None,800
21/03/2022, 20:30:44,None,650
21/03/2022,20:25:10,miro,650
21/03/2022, 20:41:46,rickrolled,525
21/03/2022, 20:30:48,None,475
21/03/2022, 20:30:55,None,225
21/03/2022, 20:31:01,None,200
21/03/2022, 20:32:14,None,150
21/03/2022, 20:32:45,None,125
21/03/2022, 20:33:13,None,125
21/03/2022, 20:35:26,sadsada,100
21/03/2022, 20:35:47,None,50
21/03/2022, 20:36:07,today is the day,50
21/03/2022, 21:06:40,None,50
21/03/2022, 20:39:40,rer,0
21/03/2022, 21:58:13,None,0
